algorithm,dataset,n,k,d,i,ari,obj,t
gmm_hg_shrunk,spect,267,2,22,5,0.361621509,-3.536726535,0.372857408
kmeans,wholesale,440,6,6,5,0.132038168,4.76E+10,0.001981624
kmeans_hg,wholesale,440,6,6,5,0.115975248,4.65E+10,0.517778809
gmm,wholesale,440,6,6,5,0.155036202,-55.22456101,0.005421511
gmm_ms,wholesale,440,6,6,5,0.101304981,-54.58433567,3.843905787
gmm_rs,wholesale,440,6,6,5,0.11252638,-54.5607159,1.795717122
gmm_hg,wholesale,440,6,6,5,0.172500054,-54.51301787,2.694792571
gmm_shrunk,wholesale,440,6,6,5,0.176287282,-56.41818368,0.005598769
gmm_ms_shrunk,wholesale,440,6,6,5,0.123853025,-55.98762045,3.991438685
gmm_rs_shrunk,wholesale,440,6,6,5,0.220520313,-56.26581076,1.625135792
gmm_hg_shrunk,wholesale,440,6,6,5,0.130474252,-56.1216175,0.931053036
kmeans,wines,178,3,13,5,0.351772152,2.63E+06,0.000555387
kmeans_hg,wines,178,3,13,5,0.371113718,2.37E+06,0.064785037
gmm,wines,178,3,13,5,0.41573764,-16.5770688,0.001370126
gmm_ms,wines,178,3,13,5,-0.006868985,-14.04294683,3.396383195
gmm_rs,wines,178,3,13,5,0.007553558,-15.8283714,0.23632584
gmm_hg,wines,178,3,13,5,0.018545709,-15.11078969,0.282442508
gmm_shrunk,wines,178,3,13,5,0.302824312,-49.19174693,0.027607177
gmm_ms_shrunk,wines,178,3,13,5,0.35032532,-48.33585517,10.26155615
gmm_rs_shrunk,wines,178,3,13,5,0.346927587,-47.04351155,3.064018732
gmm_hg_shrunk,wines,178,3,13,5,0.314474053,-48.81248031,3.523999089
kmeans,yeast,1484,10,8,5,0.131048508,52.47369629,0.010309419
kmeans_hg,yeast,1484,10,8,5,0.147974509,45.24306001,4.462867114
gmm,yeast,1484,10,8,5,0.001904331,12.86089373,0.214500479
gmm_ms,yeast,1484,10,8,5,0.027407264,44.63486735,222.4320547
gmm_rs,yeast,1484,10,8,5,0.005332969,42.4978232,503.1113141
gmm_hg,yeast,1484,10,8,5,0.002136744,42.40373426,137.1628051
gmm_shrunk,yeast,1484,10,8,5,0.126342632,12.02445723,0.072865614
gmm_ms_shrunk,yeast,1484,10,8,5,0.194175749,12.20519831,21.64374411
gmm_rs_shrunk,yeast,1484,10,8,5,0.169834575,12.11373496,8.274505971
gmm_hg_shrunk,yeast,1484,10,8,5,0.1658947,12.1635263,4.601753478
kmeans,facebook_live_sellers,7050,4,9,6,0.095983414,2.00E+09,0.130899176
kmeans_hg,facebook_live_sellers,7050,4,9,6,0.087400262,2.00E+09,10.00346688
gmm,facebook_live_sellers,7050,4,9,6,0.16103022,3.081823938,0.322131425
gmm_ms,facebook_live_sellers,7050,4,9,6,0.107715202,6.955419259,309.8235229
gmm_rs,facebook_live_sellers,7050,4,9,6,0.163588637,3.358431304,286.5638939
gmm_hg,facebook_live_sellers,7050,4,9,6,0.121272387,5.491038943,85.53626586
gmm_shrunk,facebook_live_sellers,7050,4,9,6,0.225393589,-44.378295,0.184887162
gmm_ms_shrunk,facebook_live_sellers,7050,4,9,6,0.184014601,-33.26001253,81.38329784
gmm_rs_shrunk,facebook_live_sellers,7050,4,9,6,0.226818381,-43.7970405,15.72369511
gmm_hg_shrunk,facebook_live_sellers,7050,4,9,6,0.247360189,-36.21968812,19.16264281
kmeans,handwritten_digits,5620,10,62,6,0.677935105,3.68E+06,0.426267637
kmeans_hg,handwritten_digits,5620,10,62,6,0.671378012,3.68E+06,79.76855082
gmm,handwritten_digits,5620,10,62,6,0.424359996,-21.32599167,1.738935706
gmm_ms,handwritten_digits,5620,10,62,6,0.312557592,-10.9847654,1312.541686
gmm_rs,handwritten_digits,5620,10,62,6,0.283758892,-15.43560426,357.6184285
gmm_hg,handwritten_digits,5620,10,62,6,0.202752068,-6.712179678,267.1788876
gmm_shrunk,handwritten_digits,5620,10,62,6,0.775232618,-119.4253438,1.639903727
gmm_ms_shrunk,handwritten_digits,5620,10,62,6,0.798262771,-118.6552201,1232.952627
gmm_rs_shrunk,handwritten_digits,5620,10,62,6,0.814221522,-118.7692966,404.5107359
gmm_hg_shrunk,handwritten_digits,5620,10,62,6,0.82067606,-118.7930057,224.3210355
kmeans,hcv,589,5,12,6,0.443600369,1.64E+06,0.012012476
kmeans_hg,hcv,589,5,12,6,0.463843259,1.64E+06,0.660283431
gmm,hcv,589,5,12,6,0.19729925,-36.67949318,0.018741179
gmm_ms,hcv,589,5,12,6,0.115211274,-3.868498177,514.3844276
gmm_rs,hcv,589,5,12,6,0.128882323,-3.962839748,922.261588
gmm_hg,hcv,589,5,12,6,0.125879604,-3.54503917,786.8934415
gmm_shrunk,hcv,589,5,12,6,0.664599986,-40.39667923,0.027636731
gmm_ms_shrunk,hcv,589,5,12,6,0.201991795,-39.61304796,8.512980889
gmm_rs_shrunk,hcv,589,5,12,6,0.673120902,-40.29416003,2.301198972
gmm_hg_shrunk,hcv,589,5,12,6,0.448918053,-39.83046355,2.256460212
kmeans,image_segmentation,2310,7,18,6,0.298756199,2.12E+07,0.028616618
kmeans_hg,image_segmentation,2310,7,18,6,0.338625379,1.34E+07,9.478244787
gmm,image_segmentation,2310,7,18,6,0.270020661,17.99936146,0.432144994
gmm_ms,image_segmentation,2310,7,18,6,0.171407711,30.95360656,426.3831673
gmm_rs,image_segmentation,2310,7,18,6,0.24522529,21.52033456,52.77648386
gmm_hg,image_segmentation,2310,7,18,6,0.469520703,30.54860895,39.92580044
gmm_shrunk,image_segmentation,2310,7,18,6,0.465934395,-59.58368516,0.106408783
gmm_ms_shrunk,image_segmentation,2310,7,18,6,0.378148207,-58.05716573,54.29388981
gmm_rs_shrunk,image_segmentation,2310,7,18,6,0.465845862,-59.53091561,9.004459765
gmm_hg_shrunk,image_segmentation,2310,7,18,6,0.282876884,-58.36915619,12.99206105
kmeans,ionosphere,351,2,33,6,0.177606855,2419.364807,0.001454024
kmeans_hg,ionosphere,351,2,33,6,0.177606855,2419.364807,0.16465381
gmm,ionosphere,351,2,33,6,-0.030409544,-7.356778222,0.002873788
gmm_ms,ionosphere,351,2,33,6,0.742392259,27.99227087,8.472655912
gmm_rs,ionosphere,351,2,33,6,0.752298398,28.02034173,31.38055947
gmm_hg,ionosphere,351,2,33,6,0.742392259,28.43772942,29.88250623
gmm_shrunk,ionosphere,351,2,33,6,0.721361208,-0.60304189,0.004540317
gmm_ms_shrunk,ionosphere,351,2,33,6,0.731723251,-0.343138047,3.059974634
gmm_rs_shrunk,ionosphere,351,2,33,6,0.74175062,-0.311342295,1.051267332
gmm_hg_shrunk,ionosphere,351,2,33,6,0.731723251,-0.343344727,1.019288385
kmeans,iris,150,3,4,6,0.716342113,78.94506583,0.000214696
kmeans_hg,iris,150,3,4,6,0.730238272,78.94084143,0.032440704
gmm,iris,150,3,4,6,0.903874232,-1.206826466,0.001351922
gmm_ms,iris,150,3,4,6,0.522898857,-0.767792741,0.387505278
gmm_rs,iris,150,3,4,6,0.903874232,-1.20664639,0.268753046
gmm_hg,iris,150,3,4,6,0.531229047,-0.882339614,0.227242355
gmm_shrunk,iris,150,3,4,6,0.941012256,-1.327839884,0.000626323
gmm_ms_shrunk,iris,150,3,4,6,0.94104498,-1.321953108,0.346910478
gmm_rs_shrunk,iris,150,3,4,6,0.94104498,-1.322204033,0.287007164
gmm_hg_shrunk,iris,150,3,4,6,0.94104498,-1.322286561,0.164406184
kmeans,magic,19020,2,10,6,0.059461797,2.01E+08,0.164028293
kmeans_hg,magic,19020,2,10,6,0.059461797,2.01E+08,18.85532168
gmm,magic,19020,2,10,6,0.059439398,-28.4371866,0.051967123
gmm_ms,magic,19020,2,10,6,0.059548759,-28.43699592,40.89070362
gmm_rs,magic,19020,2,10,6,0.059439398,-28.4371866,10.97003956
gmm_hg,magic,19020,2,10,6,0.059439398,-28.4371866,13.84905901
gmm_shrunk,magic,19020,2,10,6,0.179235947,-42.50085914,0.101997545
gmm_ms_shrunk,magic,19020,2,10,6,0.124779849,-41.92021004,44.45222867
gmm_rs_shrunk,magic,19020,2,10,6,0.179235947,-42.50058396,13.72238893
gmm_hg_shrunk,magic,19020,2,10,6,0.179930572,-42.49761742,12.56153981
kmeans,seeds,210,3,7,6,0.710341709,588.7819922,0.000345408
kmeans_hg,seeds,210,3,7,6,0.716619856,587.3186116,0.061439605
gmm,seeds,210,3,7,6,0.561765622,6.104887827,0.002724326
gmm_ms,seeds,210,3,7,6,0.561765622,6.104956073,0.804353937
gmm_rs,seeds,210,3,7,6,0.561765622,6.104887827,0.223374383
gmm_hg,seeds,210,3,7,6,0.48028865,6.198376883,1.344432612
gmm_shrunk,seeds,210,3,7,6,0.498408575,-2.763685753,0.00188917
gmm_ms_shrunk,seeds,210,3,7,6,0.710503164,-1.794521878,0.730655091
gmm_rs_shrunk,seeds,210,3,7,6,0.721256868,-1.792483815,0.320027605
gmm_hg_shrunk,seeds,210,3,7,6,0.721256868,-1.794820085,0.39967699
kmeans,spect,267,2,22,6,-0.002881882,1005.130159,0.000933419
kmeans_hg,spect,267,2,22,6,-0.002881882,1005.130159,0.130336856
gmm,spect,267,2,22,6,0.006280549,-1.044585209,0.001628759
gmm_ms,spect,267,2,22,6,-0.028577421,10.02320527,4.998189687
gmm_rs,spect,267,2,22,6,0.179467831,7.334167223,0.377254041
gmm_hg,spect,267,2,22,6,0.086580589,7.743020885,0.35244484
gmm_shrunk,spect,267,2,22,6,0.006280549,-6.690671224,0.000852646
gmm_ms_shrunk,spect,267,2,22,6,0.033059362,-5.29663173,2.177898181
gmm_rs_shrunk,spect,267,2,22,6,0.222483322,-4.162414202,0.300229739
gmm_hg_shrunk,spect,267,2,22,6,0.361621509,-3.536726535,0.726919413
kmeans,wholesale,440,6,6,6,0.132038168,4.76E+10,0.001501769
kmeans_hg,wholesale,440,6,6,6,0.113090339,4.65E+10,0.535208179
gmm,wholesale,440,6,6,6,0.120051333,-55.18168757,0.009173102
gmm_ms,wholesale,440,6,6,6,0.107273137,-54.65850759,3.661772644
gmm_rs,wholesale,440,6,6,6,0.11212116,-54.56903027,0.818211911
gmm_hg,wholesale,440,6,6,6,0.182453659,-54.5132621,2.802955545
gmm_shrunk,wholesale,440,6,6,6,0.218391943,-56.37207959,0.008516781
gmm_ms_shrunk,wholesale,440,6,6,6,0.184438069,-55.95564258,3.678312426
gmm_rs_shrunk,wholesale,440,6,6,6,0.077399752,-56.2081144,0.783329844
gmm_hg_shrunk,wholesale,440,6,6,6,0.183966346,-55.98003524,0.780265923
kmeans,wines,178,3,13,6,0.371113718,2.37E+06,0.000554719
kmeans_hg,wines,178,3,13,6,0.371113718,2.37E+06,0.06717025
gmm,wines,178,3,13,6,0.09393096,-17.22482405,0.001519599
gmm_ms,wines,178,3,13,6,0.044428024,-14.93455169,3.587589555
gmm_rs,wines,178,3,13,6,0.01481725,-16.03792372,0.110096604
gmm_hg,wines,178,3,13,6,0.016890564,-15.53353773,0.240269549
gmm_shrunk,wines,178,3,13,6,0.302824312,-49.19077811,0.027852531
gmm_ms_shrunk,wines,178,3,13,6,0.314474053,-48.88117108,9.952749515
gmm_rs_shrunk,wines,178,3,13,6,0.309834828,-49.09174743,4.448769153
gmm_hg_shrunk,wines,178,3,13,6,0.324216164,-48.96278058,7.893203282
kmeans,yeast,1484,10,8,6,0.115307644,46.36025521,0.012004424
kmeans_hg,yeast,1484,10,8,6,0.146905797,45.24323437,4.360080175
gmm,yeast,1484,10,8,6,0.00149573,12.92990699,0.025414808
gmm_ms,yeast,1484,10,8,6,0.07068798,44.61487773,135.1749055
gmm_rs,yeast,1484,10,8,6,0.002220199,42.35218144,166.0169683
gmm_hg,yeast,1484,10,8,6,0.011678115,43.26796134,352.643434
gmm_shrunk,yeast,1484,10,8,6,0.11893005,12.01614676,0.03044948
gmm_ms_shrunk,yeast,1484,10,8,6,0.163010687,12.15559438,15.21147081
gmm_rs_shrunk,yeast,1484,10,8,6,0.179899717,12.15166169,6.344357801
gmm_hg_shrunk,yeast,1484,10,8,6,0.180385932,12.15448268,7.724475603
kmeans,facebook_live_sellers,7050,4,9,7,0.095983414,2.00E+09,0.109178463
kmeans_hg,facebook_live_sellers,7050,4,9,7,0.088766491,2.00E+09,7.571453871
gmm,facebook_live_sellers,7050,4,9,7,0.078081142,4.837892493,0.083691715
gmm_ms,facebook_live_sellers,7050,4,9,7,0.107715202,6.955442079,212.8512174
gmm_rs,facebook_live_sellers,7050,4,9,7,0.114233257,7.205450881,96.46859455
gmm_hg,facebook_live_sellers,7050,4,9,7,0.115288282,7.041992703,70.83166038
gmm_shrunk,facebook_live_sellers,7050,4,9,7,0.225393589,-44.37856996,0.193550236
gmm_ms_shrunk,facebook_live_sellers,7050,4,9,7,0.215132527,-33.89740863,63.97162784
gmm_rs_shrunk,facebook_live_sellers,7050,4,9,7,0.226880672,-43.7979783,13.62913098
gmm_hg_shrunk,facebook_live_sellers,7050,4,9,7,0.226158052,-43.78955245,14.21160997
kmeans,handwritten_digits,5620,10,62,7,0.487855615,3.80E+06,0.344087167
kmeans_hg,handwritten_digits,5620,10,62,7,0.671750686,3.68E+06,55.65479029
gmm,handwritten_digits,5620,10,62,7,0.340916623,-20.83005831,2.869057545
gmm_ms,handwritten_digits,5620,10,62,7,0.332923196,-13.33994989,1083.943326
gmm_rs,handwritten_digits,5620,10,62,7,0.222722793,-16.58684163,228.8268209
gmm_hg,handwritten_digits,5620,10,62,7,0.326150673,-3.807539349,329.9123281
gmm_shrunk,handwritten_digits,5620,10,62,7,0.666485201,-120.8288923,4.602374804
gmm_ms_shrunk,handwritten_digits,5620,10,62,7,0.800501944,-118.6756673,1063.0994
gmm_rs_shrunk,handwritten_digits,5620,10,62,7,0.798049968,-118.6009977,339.5398225
gmm_hg_shrunk,handwritten_digits,5620,10,62,7,0.803835008,-118.6278022,282.8049472
kmeans,hcv,589,5,12,7,0.144490364,2.55E+06,0.00595442
kmeans_hg,hcv,589,5,12,7,0.463843259,1.64E+06,0.643159498
gmm,hcv,589,5,12,7,0.32936289,-37.01987125,0.009631038
gmm_ms,hcv,589,5,12,7,0.120291486,-3.631289028,308.7975523
gmm_rs,hcv,589,5,12,7,0.119951268,-4.058128341,669.6097029
gmm_hg,hcv,589,5,12,7,0.114593328,-3.68796285,997.9717384
gmm_shrunk,hcv,589,5,12,7,0.606528883,-40.34855517,0.029386929
gmm_ms_shrunk,hcv,589,5,12,7,0.226913637,-39.59325122,6.567503149
gmm_rs_shrunk,hcv,589,5,12,7,0.455329589,-39.87037346,2.066473829
gmm_hg_shrunk,hcv,589,5,12,7,0.295260112,-39.70905934,1.569975652
kmeans,image_segmentation,2310,7,18,7,0.332211341,2.06E+07,0.02274474
kmeans_hg,image_segmentation,2310,7,18,7,0.338327763,1.34E+07,5.827444757
gmm,image_segmentation,2310,7,18,7,0.285002002,24.85687226,0.257683929
gmm_ms,image_segmentation,2310,7,18,7,0.276814373,31.35442263,376.451723
gmm_rs,image_segmentation,2310,7,18,7,0.285002002,24.85687226,7.385877007
gmm_hg,image_segmentation,2310,7,18,7,0.290973722,28.29928821,52.7171661
gmm_shrunk,image_segmentation,2310,7,18,7,0.467556352,-59.57113202,0.196263525
gmm_ms_shrunk,image_segmentation,2310,7,18,7,0.370337451,-58.19283288,50.61959457
gmm_rs_shrunk,image_segmentation,2310,7,18,7,0.464160462,-59.56877668,9.516947063
gmm_hg_shrunk,image_segmentation,2310,7,18,7,0.420486993,-58.59993163,10.28054354
kmeans,ionosphere,351,2,33,7,0.177606855,2419.364807,0.001395942
kmeans_hg,ionosphere,351,2,33,7,0.177606855,2419.364807,0.196487702
gmm,ionosphere,351,2,33,7,-0.012749191,-8.677159062,0.003298246
gmm_ms,ionosphere,351,2,33,7,0.693908632,27.74473472,2.820378591
gmm_rs,ionosphere,351,2,33,7,0.703623411,28.09059833,335.246501
gmm_hg,ionosphere,351,2,33,7,0.703623411,28.09058306,55.78890586
gmm_shrunk,ionosphere,351,2,33,7,-0.006182734,-10.22411278,0.00429539
gmm_ms_shrunk,ionosphere,351,2,33,7,0.731723251,-0.343807754,3.388522343
gmm_rs_shrunk,ionosphere,351,2,33,7,0.731723251,-0.343794246,0.837395496
gmm_hg_shrunk,ionosphere,351,2,33,7,0.74175062,-0.311310225,1.288290387
kmeans,iris,150,3,4,7,0.422540042,142.8592917,0.000246068
kmeans_hg,iris,150,3,4,7,0.730238272,78.94084143,0.096464549
gmm,iris,150,3,4,7,0.456660389,-1.331294447,0.00067938
gmm_ms,iris,150,3,4,7,0.441351295,4.89826605,0.562786
gmm_rs,iris,150,3,4,7,0.903874232,-1.20664639,0.21306951
gmm_hg,iris,150,3,4,7,0.531229047,-0.882339614,0.219709498
gmm_shrunk,iris,150,3,4,7,0.447108033,-1.472194254,0.000232139
gmm_ms_shrunk,iris,150,3,4,7,0.94104498,-1.322204064,0.450922843
gmm_rs_shrunk,iris,150,3,4,7,0.94104498,-1.322616429,0.173120325
gmm_hg_shrunk,iris,150,3,4,7,0.94104498,-1.322351077,0.222322736
kmeans,magic,19020,2,10,7,0.059461797,2.01E+08,0.664937873
kmeans_hg,magic,19020,2,10,7,0.059461797,2.01E+08,11.68634416
gmm,magic,19020,2,10,7,0.061531245,-28.4378958,0.278122551
gmm_ms,magic,19020,2,10,7,0.059699084,-28.43695547,40.66068972
gmm_rs,magic,19020,2,10,7,0.060016386,-28.4370948,10.18142596
gmm_hg,magic,19020,2,10,7,0.059598354,-28.43700374,12.15119942
gmm_shrunk,magic,19020,2,10,7,0.18000227,-42.48777202,0.049136125
gmm_ms_shrunk,magic,19020,2,10,7,0.174265192,-42.24192572,43.4452634
gmm_rs_shrunk,magic,19020,2,10,7,0.140929705,-41.92990051,10.16606954
gmm_hg_shrunk,magic,19020,2,10,7,0.18000227,-42.48777202,11.41876176
kmeans,seeds,210,3,7,7,0.710341709,588.7819922,0.000203416
kmeans_hg,seeds,210,3,7,7,0.716619856,587.3186116,0.048850714
gmm,seeds,210,3,7,7,0.72341887,6.046334568,0.001112212
gmm_ms,seeds,210,3,7,7,0.578951491,6.10521072,0.662021678
gmm_rs,seeds,210,3,7,7,0.570239107,6.105258768,0.210759752
gmm_hg,seeds,210,3,7,7,0.578951491,6.105294036,1.552213794
gmm_shrunk,seeds,210,3,7,7,0.699984355,-1.797091776,0.000926151
gmm_ms_shrunk,seeds,210,3,7,7,0.721256868,-1.794821287,0.542377208
gmm_rs_shrunk,seeds,210,3,7,7,0.721256868,-1.793482611,0.314198802
gmm_hg_shrunk,seeds,210,3,7,7,0.710503164,-1.79455723,0.261094251
kmeans,spect,267,2,22,7,-0.022800716,1006.106177,0.00113129
kmeans_hg,spect,267,2,22,7,0.000159441,1005.134829,0.208159448
gmm,spect,267,2,22,7,0.06371969,6.948196634,0.004158459
gmm_ms,spect,267,2,22,7,0.006706682,7.100829196,1.83377224
gmm_rs,spect,267,2,22,7,0.115051104,9.746107329,0.287206309
gmm_hg,spect,267,2,22,7,0.115051104,9.746107329,0.677501202
gmm_shrunk,spect,267,2,22,7,0.018041292,-6.016065928,0.005184754
gmm_ms_shrunk,spect,267,2,22,7,0.035689179,-5.31109618,1.933686967
gmm_rs_shrunk,spect,267,2,22,7,0.218339096,-4.145151924,0.215957304
gmm_hg_shrunk,spect,267,2,22,7,0.361621509,-3.536726535,0.522094487
kmeans,wholesale,440,6,6,7,0.132038168,4.76E+10,0.002075472
kmeans_hg,wholesale,440,6,6,7,0.115975248,4.65E+10,0.523966333
gmm,wholesale,440,6,6,7,0.116099225,-55.00238671,0.007021853
gmm_ms,wholesale,440,6,6,7,0.115353442,-54.47997927,3.657294512
gmm_rs,wholesale,440,6,6,7,0.190602687,-54.57272563,1.81067511
gmm_hg,wholesale,440,6,6,7,0.124841582,-54.36365065,1.670686665
gmm_shrunk,wholesale,440,6,6,7,0.200635829,-56.42069212,0.017204937
gmm_ms_shrunk,wholesale,440,6,6,7,0.136163103,-55.93664111,3.366264751
gmm_rs_shrunk,wholesale,440,6,6,7,0.200635829,-56.42069212,0.625437603
gmm_hg_shrunk,wholesale,440,6,6,7,0.216794987,-56.10292565,2.170373029
kmeans,wines,178,3,13,7,0.371113718,2.37E+06,0.000804521
kmeans_hg,wines,178,3,13,7,0.371113718,2.37E+06,0.131432929
gmm,wines,178,3,13,7,0.448003141,-15.63523125,0.002150078
gmm_ms,wines,178,3,13,7,0.000820973,-15.16566101,1.426800137
gmm_rs,wines,178,3,13,7,0.013615062,-15.38267672,0.195995722
gmm_hg,wines,178,3,13,7,0.271940309,-15.40678105,0.247763061
gmm_shrunk,wines,178,3,13,7,0.302824312,-49.19078138,0.034112518
gmm_ms_shrunk,wines,178,3,13,7,0.324216164,-48.9520709,11.22662361
gmm_rs_shrunk,wines,178,3,13,7,0.346927587,-47.04378676,4.207854454
gmm_hg_shrunk,wines,178,3,13,7,0.346927587,-47.0568086,3.588523127
kmeans,yeast,1484,10,8,7,0.132212812,52.90417152,0.014326524
kmeans_hg,yeast,1484,10,8,7,0.148065268,45.24377303,2.429840207
gmm,yeast,1484,10,8,7,0.00264033,12.91411185,0.04303724
gmm_ms,yeast,1484,10,8,7,0.023253094,44.54666748,145.5100442
gmm_rs,yeast,1484,10,8,7,0.002931538,42.34460399,589.1669902
gmm_hg,yeast,1484,10,8,7,0.009415262,43.22535082,133.2572407
gmm_shrunk,yeast,1484,10,8,7,0.124246302,12.00825228,0.048111719
gmm_ms_shrunk,yeast,1484,10,8,7,0.192047351,12.16517492,13.2416447
gmm_rs_shrunk,yeast,1484,10,8,7,0.124283805,12.08307617,2.509694112
gmm_hg_shrunk,yeast,1484,10,8,7,0.192047351,12.16517492,2.627790371
kmeans,facebook_live_sellers,7050,4,9,8,0.095983414,2.00E+09,0.100701827
kmeans_hg,facebook_live_sellers,7050,4,9,8,0.088766491,2.00E+09,7.597403472
gmm,facebook_live_sellers,7050,4,9,8,0.130381113,1.878606035,0.309183269
gmm_ms,facebook_live_sellers,7050,4,9,8,0.112628191,7.123148167,203.4665941
gmm_rs,facebook_live_sellers,7050,4,9,8,0.084023388,5.504909829,174.6962863
gmm_hg,facebook_live_sellers,7050,4,9,8,0.115017997,7.219299851,101.216814
gmm_shrunk,facebook_live_sellers,7050,4,9,8,0.225393589,-44.37798934,0.162982943
gmm_ms_shrunk,facebook_live_sellers,7050,4,9,8,0.180308902,-33.56258513,77.77755346
gmm_rs_shrunk,facebook_live_sellers,7050,4,9,8,0.225502681,-44.34308145,27.51547402
gmm_hg_shrunk,facebook_live_sellers,7050,4,9,8,0.22678748,-43.80002234,15.57663571
kmeans,handwritten_digits,5620,10,62,8,0.671705948,3.68E+06,0.387654974
kmeans_hg,handwritten_digits,5620,10,62,8,0.671635791,3.68E+06,92.35971076
gmm,handwritten_digits,5620,10,62,8,0.368168379,-19.87007428,3.301089712
gmm_ms,handwritten_digits,5620,10,62,8,0.213643335,-12.21323633,1252.965924
gmm_rs,handwritten_digits,5620,10,62,8,0.282805695,-16.25955986,348.945779
gmm_hg,handwritten_digits,5620,10,62,8,0.204575173,-6.185409358,364.7201187
gmm_shrunk,handwritten_digits,5620,10,62,8,0.680858282,-120.5559038,2.156973859
gmm_ms_shrunk,handwritten_digits,5620,10,62,8,0.796377992,-118.6367686,1228.746466
gmm_rs_shrunk,handwritten_digits,5620,10,62,8,0.791589554,-118.6172988,214.2678542
gmm_hg_shrunk,handwritten_digits,5620,10,62,8,0.792834389,-118.6314099,442.7922572
kmeans,hcv,589,5,12,8,0.140512117,2.55E+06,0.013421491
kmeans_hg,hcv,589,5,12,8,0.463843259,1.64E+06,1.255109905
gmm,hcv,589,5,12,8,0.222460991,-36.80133857,0.027585629
gmm_ms,hcv,589,5,12,8,0.126062365,-3.59050323,425.3955984
gmm_rs,hcv,589,5,12,8,0.117890625,-3.997279347,1131.523886
gmm_hg,hcv,589,5,12,8,0.123509929,-4.152849059,696.630477
gmm_shrunk,hcv,589,5,12,8,0.421162095,-39.86365756,0.014195378
gmm_ms_shrunk,hcv,589,5,12,8,0.190588822,-39.59778819,6.669961188
gmm_rs_shrunk,hcv,589,5,12,8,0.450100031,-39.84431093,2.47654048
gmm_hg_shrunk,hcv,589,5,12,8,0.42636542,-39.80723487,1.406573655
kmeans,image_segmentation,2310,7,18,8,0.318260073,1.40E+07,0.03941999
kmeans_hg,image_segmentation,2310,7,18,8,0.338625379,1.34E+07,11.41599113
gmm,image_segmentation,2310,7,18,8,0.188459864,17.0737037,2.482798026
gmm_ms,image_segmentation,2310,7,18,8,0.293162781,31.08834618,478.8628493
gmm_rs,image_segmentation,2310,7,18,8,0.231487256,18.89540759,219.4627142
gmm_hg,image_segmentation,2310,7,18,8,0.335992117,25.82201949,60.60603384
gmm_shrunk,image_segmentation,2310,7,18,8,0.271237486,-60.05882804,0.070901649
gmm_ms_shrunk,image_segmentation,2310,7,18,8,0.321029832,-57.61062563,59.60381343
gmm_rs_shrunk,image_segmentation,2310,7,18,8,0.379682519,-59.5781128,9.529401043
gmm_hg_shrunk,image_segmentation,2310,7,18,8,0.476862018,-57.9563477,13.87890451
kmeans,ionosphere,351,2,33,8,0.177606855,2419.364807,0.001944505
kmeans_hg,ionosphere,351,2,33,8,0.177606855,2419.364807,0.10695616
gmm,ionosphere,351,2,33,8,0.05229794,-8.24881601,0.002680064
gmm_ms,ionosphere,351,2,33,8,0.741397141,28.4159584,2.749512535
gmm_rs,ionosphere,351,2,33,8,0.438959503,7.769675612,0.571315385
gmm_hg,ionosphere,351,2,33,8,0.722790017,28.32704893,134.1197376
gmm_shrunk,ionosphere,351,2,33,8,0.05229794,-12.71233115,0.001464644
gmm_ms_shrunk,ionosphere,351,2,33,8,0.731723251,-0.343794322,3.107503813
gmm_rs_shrunk,ionosphere,351,2,33,8,0.731723251,-0.343453207,2.345477003
gmm_hg_shrunk,ionosphere,351,2,33,8,0.731723251,-0.343790841,0.834127393
kmeans,iris,150,3,4,8,0.716342113,78.94506583,0.000279126
kmeans_hg,iris,150,3,4,8,0.730238272,78.94084143,0.055411432
gmm,iris,150,3,4,8,0.903874232,-1.206795435,0.000567639
gmm_ms,iris,150,3,4,8,0.531229047,-0.882339614,0.537105644
gmm_rs,iris,150,3,4,8,0.560024437,-0.499254675,0.420015996
gmm_hg,iris,150,3,4,8,0.531229047,-0.873097652,0.121855846
gmm_shrunk,iris,150,3,4,8,0.960277692,-1.323976909,0.000408102
gmm_ms_shrunk,iris,150,3,4,8,0.94104498,-1.322593545,0.424077807
gmm_rs_shrunk,iris,150,3,4,8,0.94104498,-1.322600813,0.267204399
gmm_hg_shrunk,iris,150,3,4,8,0.94104498,-1.322602202,0.144795959
kmeans,magic,19020,2,10,8,0.059461797,2.01E+08,0.591343252
kmeans_hg,magic,19020,2,10,8,0.059461797,2.01E+08,10.65580632
gmm,magic,19020,2,10,8,0.061589944,-28.43802064,0.305625775
gmm_ms,magic,19020,2,10,8,0.05929243,-28.43701519,43.68094247
gmm_rs,magic,19020,2,10,8,0.059680019,-28.43710358,21.16287895
gmm_hg,magic,19020,2,10,8,0.061061416,-28.43743678,13.11810849
gmm_shrunk,magic,19020,2,10,8,0.17939556,-42.50426957,0.064365644
gmm_ms_shrunk,magic,19020,2,10,8,0.126882907,-41.93531479,45.76558888
gmm_rs_shrunk,magic,19020,2,10,8,0.135799103,-41.94667112,19.44500287
gmm_hg_shrunk,magic,19020,2,10,8,0.134772787,-41.93887408,12.54950266
kmeans,seeds,210,3,7,8,0.710341709,588.7819922,0.000253933
kmeans_hg,seeds,210,3,7,8,0.716619856,587.3186116,0.053182273
gmm,seeds,210,3,7,8,0.72341887,6.046240016,0.001921812
gmm_ms,seeds,210,3,7,8,0.561765622,6.105001494,0.681283306
